legacy_case_id,alert_id,created_at,severity,analyst,status,resolution,migrated,migration_timestamp
LEG-00026,ALERT-43777,2026-03-05T14:23:38.249549,HIGH,analyst1@example.com,OPEN,Confirmed - accepted risk,True,2026-03-28T14:23:38.249549
LEG-00027,ALERT-48799,2026-02-08T14:23:38.249549,HIGH,analyst3@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00028,ALERT-58314,2026-02-26T14:23:38.249549,CRITICAL,analyst1@example.com,ESCALATED,,True,2026-03-26T14:23:38.249549
LEG-00029,ALERT-58322,2026-01-10T14:23:38.249549,LOW,analyst10@example.com,OPEN,,False,
LEG-00030,ALERT-71469,2026-04-17T14:23:38.249549,HIGH,analyst7@example.com,CLOSED,Confirmed - remediated,False,
LEG-00031,ALERT-96722,2026-03-14T14:23:38.249549,MEDIUM,analyst7@example.com,CLOSED,Confirmed - remediated,True,2026-04-13T14:23:38.249549
LEG-00032,ALERT-60203,2026-01-24T14:23:38.249549,LOW,analyst2@example.com,ESCALATED,,True,2026-02-10T14:23:38.249549
LEG-00033,ALERT-25406,2026-01-20T14:23:38.249549,LOW,analyst10@example.com,CLOSED,,False,
LEG-00034,ALERT-95112,2026-01-23T14:23:38.249549,LOW,analyst10@example.com,OPEN,False positive,True,2026-02-19T14:23:38.249549
LEG-00035,ALERT-71256,2026-02-28T14:23:38.249549,LOW,analyst1@example.com,CLOSED,Confirmed - remediated,True,2026-03-16T14:23:38.249549
LEG-00036,ALERT-32031,2026-02-11T14:23:38.249549,LOW,analyst6@example.com,ESCALATED,,True,2026-02-26T14:23:38.249549
LEG-00037,ALERT-74980,2026-01-25T14:23:38.249549,LOW,analyst2@example.com,OPEN,,True,2026-01-30T14:23:38.249549
LEG-00038,ALERT-26966,2026-02-10T14:23:38.249549,LOW,analyst2@example.com,ESCALATED,Confirmed - accepted risk,True,2026-02-24T14:23:38.249549
LEG-00039,ALERT-88629,2026-02-17T14:23:38.249549,CRITICAL,analyst5@example.com,OPEN,False positive,True,2026-03-05T14:23:38.249549
LEG-00040,ALERT-51672,2026-03-14T14:23:38.249549,HIGH,analyst7@example.com,ESCALATED,False positive,True,2026-04-02T14:23:38.249549
LEG-00041,ALERT-14839,2026-01-26T14:23:38.249549,HIGH,analyst2@example.com,CLOSED,Confirmed - accepted risk,True,2026-02-08T14:23:38.249549
LEG-00042,ALERT-84571,2026-04-10T14:23:38.249549,CRITICAL,analyst5@example.com,ESCALATED,Confirmed - remediated,False,
LEG-00043,ALERT-75010,2026-03-26T14:23:38.249549,HIGH,analyst2@example.com,OPEN,,True,2026-04-19T14:23:38.249549
LEG-00044,ALERT-78805,2026-04-06T14:23:38.249549,CRITICAL,analyst11@example.com,OPEN,Confirmed - remediated,False,
LEG-00045,ALERT-82220,2026-03-25T14:23:38.249549,MEDIUM,analyst12@example.com,CLOSED,,True,2026-04-18T14:23:38.249549
LEG-00046,ALERT-68887,2026-03-08T14:23:38.249549,HIGH,analyst8@example.com,OPEN,Confirmed - remediated,True,2026-03-20T14:23:38.249549
LEG-00047,ALERT-91651,2026-01-20T14:23:38.249549,HIGH,analyst11@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00048,ALERT-58869,2026-04-13T14:23:38.249549,CRITICAL,analyst10@example.com,ESCALATED,,True,2026-05-08T14:23:38.249549
LEG-00049,ALERT-28952,2026-04-25T14:23:38.249549,LOW,analyst2@example.com,ESCALATED,Confirmed - remediated,True,2026-04-27T14:23:38.249549
LEG-00050,ALERT-43314,2026-02-10T14:23:38.249549,CRITICAL,analyst11@example.com,ESCALATED,False positive,True,2026-02-15T14:23:38.249549
LEG-00051,ALERT-24671,2026-03-23T14:23:38.249549,LOW,analyst10@example.com,OPEN,Confirmed - remediated,False,
LEG-00052,ALERT-98898,2026-04-14T14:23:38.249549,LOW,analyst4@example.com,ESCALATED,False positive,True,2026-04-22T14:23:38.249549
LEG-00053,ALERT-82982,2026-02-02T14:23:38.249549,MEDIUM,analyst1@example.com,OPEN,,True,2026-02-19T14:23:38.249549
LEG-00054,ALERT-72579,2026-04-24T14:23:38.249549,HIGH,analyst4@example.com,CLOSED,Confirmed - accepted risk,True,2026-05-21T14:23:38.249549
LEG-00055,ALERT-32500,2026-03-29T14:23:38.249549,LOW,analyst3@example.com,ESCALATED,Confirmed - accepted risk,True,2026-04-23T14:23:38.249549
LEG-00056,ALERT-43237,2026-03-01T14:23:38.249549,CRITICAL,analyst9@example.com,CLOSED,False positive,False,
LEG-00057,ALERT-62852,2026-04-17T14:23:38.249549,MEDIUM,analyst5@example.com,ESCALATED,Confirmed - accepted risk,True,2026-04-21T14:23:38.249549
LEG-00058,ALERT-31653,2026-03-14T14:23:38.249549,MEDIUM,analyst3@example.com,ESCALATED,Confirmed - remediated,True,2026-03-17T14:23:38.249549
LEG-00059,ALERT-76936,2026-03-15T14:23:38.249549,CRITICAL,analyst6@example.com,CLOSED,Confirmed - remediated,True,2026-04-03T14:23:38.249549
LEG-00060,ALERT-67590,2026-02-16T14:23:38.249549,HIGH,analyst11@example.com,ESCALATED,False positive,True,2026-02-27T14:23:38.249549
LEG-00061,ALERT-96529,2026-03-30T14:23:38.249549,CRITICAL,analyst12@example.com,OPEN,False positive,False,
LEG-00062,ALERT-19720,2026-03-13T14:23:38.249549,MEDIUM,analyst11@example.com,OPEN,Confirmed - remediated,True,2026-03-23T14:23:38.249549
LEG-00063,ALERT-55841,2026-02-17T14:23:38.249549,MEDIUM,analyst9@example.com,ESCALATED,False positive,True,2026-02-20T14:23:38.249549
LEG-00064,ALERT-56100,2026-02-11T14:23:38.249549,LOW,analyst10@example.com,CLOSED,,True,2026-02-17T14:23:38.249549
LEG-00065,ALERT-77576,2026-05-04T14:23:38.249549,LOW,analyst12@example.com,CLOSED,,True,2026-05-23T14:23:38.249549
LEG-00066,ALERT-69075,2026-02-10T14:23:38.249549,HIGH,analyst7@example.com,CLOSED,Confirmed - accepted risk,False,
LEG-00067,ALERT-23162,2026-04-15T14:23:38.249549,CRITICAL,analyst9@example.com,OPEN,,True,2026-04-16T14:23:38.249549
LEG-00068,ALERT-51343,2026-01-27T14:23:38.249549,HIGH,analyst1@example.com,OPEN,Confirmed - accepted risk,True,2026-02-04T14:23:38.249549
LEG-00069,ALERT-94307,2026-01-31T14:23:38.249549,HIGH,analyst5@example.com,CLOSED,False positive,False,
LEG-00070,ALERT-12050,2026-01-30T14:23:38.249549,HIGH,analyst3@example.com,OPEN,,False,
LEG-00071,ALERT-55718,2026-04-07T14:23:38.249549,HIGH,analyst10@example.com,CLOSED,False positive,True,2026-05-07T14:23:38.249549
LEG-00072,ALERT-78756,2026-05-10T14:23:38.249549,LOW,analyst9@example.com,ESCALATED,,True,2026-05-30T14:23:38.249549
LEG-00073,ALERT-94082,2026-01-16T14:23:38.249549,LOW,analyst4@example.com,CLOSED,Confirmed - remediated,False,
LEG-00074,ALERT-52068,2026-03-24T14:23:38.249549,MEDIUM,analyst9@example.com,OPEN,False positive,True,2026-03-28T14:23:38.249549
LEG-00075,ALERT-75468,2026-04-29T14:23:38.249549,LOW,analyst4@example.com,OPEN,,True,2026-05-11T14:23:38.249549
LEG-00076,ALERT-22125,2026-03-21T14:23:38.249549,CRITICAL,analyst5@example.com,ESCALATED,Confirmed - remediated,True,2026-04-03T14:23:38.249549
LEG-00077,ALERT-53820,2026-04-17T14:23:38.249549,HIGH,analyst5@example.com,OPEN,Confirmed - remediated,True,2026-04-18T14:23:38.249549
LEG-00078,ALERT-26179,2026-01-14T14:23:38.249549,MEDIUM,analyst6@example.com,ESCALATED,Confirmed - accepted risk,True,2026-02-09T14:23:38.249549
LEG-00079,ALERT-32232,2026-03-22T14:23:38.249549,MEDIUM,analyst11@example.com,CLOSED,Confirmed - accepted risk,True,2026-03-23T14:23:38.249549
LEG-00080,ALERT-20926,2026-03-09T14:23:38.249549,CRITICAL,analyst4@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00081,ALERT-60203,2026-04-11T14:23:38.249549,LOW,analyst10@example.com,OPEN,Confirmed - accepted risk,True,2026-04-27T14:23:38.249549
LEG-00082,ALERT-96768,2026-02-12T14:23:38.249549,LOW,analyst7@example.com,CLOSED,Confirmed - remediated,True,2026-03-14T14:23:38.249549
LEG-00083,ALERT-20091,2026-02-26T14:23:38.249549,LOW,analyst8@example.com,ESCALATED,Confirmed - accepted risk,True,2026-03-02T14:23:38.249549
LEG-00084,ALERT-27493,2026-03-21T14:23:38.249549,LOW,analyst5@example.com,ESCALATED,False positive,True,2026-04-14T14:23:38.249549
LEG-00085,ALERT-32342,2026-04-18T14:23:38.249549,MEDIUM,analyst5@example.com,ESCALATED,False positive,True,2026-05-04T14:23:38.249549
LEG-00086,ALERT-60196,2026-03-28T14:23:38.249549,LOW,analyst10@example.com,OPEN,,True,2026-04-06T14:23:38.249549
LEG-00087,ALERT-79308,2026-02-14T14:23:38.249549,HIGH,analyst5@example.com,CLOSED,Confirmed - remediated,False,
LEG-00088,ALERT-66983,2026-04-13T14:23:38.249549,CRITICAL,analyst6@example.com,ESCALATED,False positive,True,2026-04-18T14:23:38.249549
LEG-00089,ALERT-88286,2026-03-05T14:23:38.249549,LOW,analyst6@example.com,OPEN,Confirmed - accepted risk,True,2026-03-23T14:23:38.249549
LEG-00090,ALERT-90297,2026-04-26T14:23:38.249549,LOW,analyst11@example.com,OPEN,,True,2026-05-14T14:23:38.249549
LEG-00091,ALERT-53148,2026-04-19T14:23:38.249549,MEDIUM,analyst12@example.com,OPEN,Confirmed - remediated,True,2026-04-25T14:23:38.249549
LEG-00092,ALERT-25223,2026-04-30T14:23:38.249549,LOW,analyst11@example.com,OPEN,Confirmed - remediated,False,
LEG-00093,ALERT-89639,2026-02-26T14:23:38.249549,HIGH,analyst9@example.com,CLOSED,Confirmed - accepted risk,True,2026-03-02T14:23:38.249549
LEG-00094,ALERT-21021,2026-04-04T14:23:38.249549,MEDIUM,analyst9@example.com,OPEN,,True,2026-05-03T14:23:38.249549
LEG-00095,ALERT-86085,2026-02-26T14:23:38.249549,LOW,analyst5@example.com,CLOSED,,True,2026-03-09T14:23:38.249549
LEG-00096,ALERT-25821,2026-04-21T14:23:38.249549,MEDIUM,analyst12@example.com,CLOSED,False positive,True,2026-05-06T14:23:38.249549
LEG-00097,ALERT-29942,2026-04-02T14:23:38.249549,LOW,analyst10@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00098,ALERT-91037,2026-02-10T14:23:38.249549,CRITICAL,analyst7@example.com,OPEN,Confirmed - accepted risk,True,2026-02-28T14:23:38.249549
LEG-00099,ALERT-29251,2026-05-01T14:23:38.249549,CRITICAL,analyst3@example.com,ESCALATED,False positive,True,2026-05-09T14:23:38.249549
LEG-00100,ALERT-97559,2026-02-15T14:23:38.249549,HIGH,analyst10@example.com,CLOSED,,True,2026-02-25T14:23:38.249549
LEG-00101,ALERT-85591,2026-04-06T14:23:38.249549,LOW,analyst6@example.com,CLOSED,Confirmed - remediated,True,2026-04-30T14:23:38.249549
LEG-00102,ALERT-13334,2026-04-26T14:23:38.249549,LOW,analyst2@example.com,CLOSED,False positive,True,2026-05-13T14:23:38.249549
LEG-00103,ALERT-38538,2026-03-31T14:23:38.249549,LOW,analyst6@example.com,OPEN,Confirmed - remediated,False,
LEG-00104,ALERT-47987,2026-01-17T14:23:38.249549,MEDIUM,analyst9@example.com,OPEN,False positive,False,
LEG-00105,ALERT-43003,2026-02-06T14:23:38.249549,CRITICAL,analyst3@example.com,OPEN,,True,2026-03-05T14:23:38.249549
LEG-00106,ALERT-30722,2026-04-30T14:23:38.249549,LOW,analyst3@example.com,OPEN,Confirmed - remediated,True,2026-05-30T14:23:38.249549
LEG-00107,ALERT-43179,2026-01-24T14:23:38.249549,MEDIUM,analyst4@example.com,ESCALATED,,False,
LEG-00108,ALERT-68744,2026-03-15T14:23:38.249549,CRITICAL,analyst7@example.com,CLOSED,Confirmed - accepted risk,False,
LEG-00109,ALERT-35939,2026-02-01T14:23:38.249549,CRITICAL,analyst11@example.com,ESCALATED,,True,2026-02-24T14:23:38.249549
LEG-00110,ALERT-49634,2026-03-21T14:23:38.249549,LOW,analyst9@example.com,ESCALATED,,False,
LEG-00111,ALERT-19835,2026-03-09T14:23:38.249549,LOW,analyst8@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00112,ALERT-16784,2026-04-18T14:23:38.249549,LOW,analyst4@example.com,CLOSED,False positive,False,
LEG-00113,ALERT-19573,2026-01-18T14:23:38.249549,LOW,analyst12@example.com,ESCALATED,,False,
LEG-00114,ALERT-70548,2026-01-13T14:23:38.249549,MEDIUM,analyst6@example.com,OPEN,Confirmed - remediated,True,2026-01-27T14:23:38.249549
LEG-00115,ALERT-18484,2026-03-27T14:23:38.249549,CRITICAL,analyst12@example.com,ESCALATED,Confirmed - remediated,True,2026-04-15T14:23:38.249549
LEG-00116,ALERT-66937,2026-04-18T14:23:38.249549,MEDIUM,analyst10@example.com,ESCALATED,Confirmed - accepted risk,True,2026-05-11T14:23:38.249549
LEG-00117,ALERT-96188,2026-04-17T14:23:38.249549,LOW,analyst9@example.com,CLOSED,Confirmed - remediated,True,2026-05-17T14:23:38.249549
LEG-00118,ALERT-97899,2026-03-23T14:23:38.249549,MEDIUM,analyst8@example.com,ESCALATED,,True,2026-04-09T14:23:38.249549
LEG-00119,ALERT-15207,2026-05-08T14:23:38.249549,HIGH,analyst3@example.com,ESCALATED,Confirmed - remediated,True,2026-05-20T14:23:38.249549
LEG-00120,ALERT-95254,2026-01-15T14:23:38.249549,MEDIUM,analyst2@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00121,ALERT-20570,2026-02-25T14:23:38.249549,CRITICAL,analyst11@example.com,ESCALATED,Confirmed - remediated,True,2026-03-19T14:23:38.249549
LEG-00122,ALERT-51779,2026-04-30T14:23:38.249549,MEDIUM,analyst5@example.com,ESCALATED,,True,2026-05-24T14:23:38.249549
LEG-00123,ALERT-71509,2026-05-03T14:23:38.249549,LOW,analyst8@example.com,OPEN,Confirmed - accepted risk,True,2026-05-04T14:23:38.249549
LEG-00124,ALERT-48998,2026-02-07T14:23:38.249549,HIGH,analyst11@example.com,ESCALATED,,True,2026-02-14T14:23:38.249549
LEG-00125,ALERT-59530,2026-01-30T14:23:38.249549,CRITICAL,analyst12@example.com,OPEN,Confirmed - remediated,True,2026-02-24T14:23:38.249549
LEG-00126,ALERT-11505,2026-05-01T14:23:38.249549,HIGH,analyst10@example.com,OPEN,False positive,True,2026-05-21T14:23:38.249549
LEG-00127,ALERT-82410,2026-01-31T14:23:38.249549,HIGH,analyst12@example.com,OPEN,Confirmed - accepted risk,False,
LEG-00128,ALERT-58599,2026-02-04T14:23:38.249549,HIGH,analyst6@example.com,CLOSED,Confirmed - remediated,True,2026-03-03T14:23:38.249549
LEG-00129,ALERT-14531,2026-01-22T14:23:38.249549,HIGH,analyst10@example.com,CLOSED,Confirmed - accepted risk,False,
LEG-00130,ALERT-64194,2026-04-03T14:23:38.249549,MEDIUM,analyst11@example.com,ESCALATED,Confirmed - accepted risk,True,2026-04-07T14:23:38.249549
LEG-00131,ALERT-23041,2026-01-13T14:23:38.249549,LOW,analyst10@example.com,OPEN,,False,
LEG-00132,ALERT-98149,2026-04-01T14:23:38.249549,MEDIUM,analyst7@example.com,CLOSED,,True,2026-04-26T14:23:38.249549
LEG-00133,ALERT-11286,2026-03-26T14:23:38.249549,HIGH,analyst12@example.com,CLOSED,Confirmed - accepted risk,False,
LEG-00134,ALERT-75093,2026-05-02T14:23:38.249549,MEDIUM,analyst3@example.com,CLOSED,Confirmed - accepted risk,True,2026-05-07T14:23:38.249549
LEG-00135,ALERT-73814,2026-03-18T14:23:38.249549,CRITICAL,analyst1@example.com,ESCALATED,Confirmed - remediated,False,
LEG-00136,ALERT-98923,2026-01-17T14:23:38.249549,MEDIUM,analyst4@example.com,ESCALATED,False positive,False,
LEG-00137,ALERT-67848,2026-04-23T14:23:38.249549,LOW,analyst9@example.com,ESCALATED,Confirmed - remediated,True,2026-05-05T14:23:38.249549
LEG-00138,ALERT-98440,2026-01-10T14:23:38.249549,CRITICAL,analyst12@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00139,ALERT-25729,2026-01-18T14:23:38.249549,LOW,analyst3@example.com,OPEN,Confirmed - accepted risk,True,2026-02-06T14:23:38.249549
LEG-00140,ALERT-75279,2026-03-17T14:23:38.249549,MEDIUM,analyst2@example.com,CLOSED,Confirmed - accepted risk,True,2026-04-06T14:23:38.249549
