incident_id,asset_id,incident_type,severity,detected_at,resolved_at,status,root_cause,control_related,business_impact,financial_impact_estimate,period
INC-000013,AST-00137,Credential Compromise,LOW,2026-05-05T13:54:25.085946,,OPEN,Misconfiguration,,LOW,932.45,BASELINE
INC-000014,AST-00192,Credential Compromise,LOW,2026-05-03T09:18:12.077336,2026-05-04T00:18:12.077336,RESOLVED,Third-party compromise,CTRL-CLOUDSEC,HIGH,75.73,BASELINE
INC-000015,AST-00012,Credential Compromise,CRITICAL,2026-04-25T15:14:28.749505,2026-04-28T14:14:28.749505,RESOLVED,Third-party compromise,,MEDIUM,48128.08,BASELINE
INC-000016,AST-00041,Malware,LOW,2026-04-25T20:09:06.971605,2026-04-28T04:09:06.971605,RESOLVED,Third-party compromise,CTRL-IAM,LOW,385.51,BASELINE
INC-000017,AST-00140,Malware,CRITICAL,2026-04-26T14:01:24.362385,2026-04-29T07:01:24.362385,RESOLVED,Unknown,CTRL-PATCH,LOW,23895.58,BASELINE
INC-000018,AST-00054,Phishing,LOW,2026-05-07T10:33:21.006727,2026-05-09T12:33:21.006727,RESOLVED,Misconfiguration,CTRL-EMAILSEC,CRITICAL,2331.41,BASELINE
INC-000019,AST-00182,Phishing,LOW,2026-04-23T04:01:24.100271,2026-04-23T09:01:24.100271,RESOLVED,Misconfiguration,CTRL-FW,LOW,2371.06,BASELINE
INC-000020,AST-00068,Ransomware Simulation,LOW,2026-05-03T07:28:03.807369,2026-05-05T09:28:03.807369,RESOLVED,Phishing click,CTRL-FW,LOW,1772.64,BASELINE
INC-000021,AST-00153,Unauthorized Access,MEDIUM,2026-04-26T17:13:18.081873,2026-04-28T09:13:18.081873,RESOLVED,Unpatched vulnerability,CTRL-EMAILSEC,HIGH,1785.48,BASELINE
INC-000022,AST-00157,Data Leakage,HIGH,2026-04-22T12:48:09.385972,2026-04-24T11:48:09.385972,RESOLVED,Third-party compromise,CTRL-EMAILSEC,MEDIUM,46675.43,BASELINE
INC-000023,AST-00043,Unauthorized Access,MEDIUM,2026-05-07T10:33:14.759889,2026-05-07T22:33:14.759889,RESOLVED,Unknown,CTRL-EDR,MEDIUM,907.63,BASELINE
INC-000024,AST-00076,Cloud Misconfiguration,LOW,2026-05-02T14:13:34.027633,2026-05-06T10:13:34.027633,RESOLVED,Unknown,CTRL-BACKUP,MEDIUM,206.46,BASELINE
INC-000025,AST-00136,Credential Compromise,MEDIUM,2026-04-22T10:42:27.714091,,OPEN,Unpatched vulnerability,CTRL-EDR,CRITICAL,1099.07,BASELINE
INC-000026,AST-00152,Unauthorized Access,LOW,2026-05-02T17:45:21.927436,2026-05-05T01:45:21.927436,RESOLVED,Third-party compromise,,HIGH,382.69,BASELINE
INC-000027,AST-00074,Credential Compromise,MEDIUM,2026-04-21T12:00:40.835475,,OPEN,Phishing click,CTRL-PATCH,MEDIUM,687.34,BASELINE
INC-000028,AST-00155,Suspicious Activity,LOW,2026-05-01T17:37:58.476994,,OPEN,Phishing click,CTRL-FW,MEDIUM,2057.29,BASELINE
INC-000029,AST-00080,Suspicious Activity,HIGH,2026-05-08T04:00:56.415271,,OPEN,Misconfiguration,CTRL-IAM,LOW,23261.67,BASELINE
INC-000030,AST-00186,Ransomware Simulation,HIGH,2026-04-25T17:11:46.866002,2026-04-26T22:11:46.866002,RESOLVED,Weak credentials,CTRL-IAM,MEDIUM,1119.82,BASELINE
INC-000031,AST-00173,Credential Compromise,CRITICAL,2026-04-28T03:39:14.538279,2026-04-29T00:39:14.538279,RESOLVED,Unpatched vulnerability,,HIGH,43340.08,BASELINE
INC-000032,AST-00047,Unauthorized Access,HIGH,2026-05-03T12:00:10.796273,2026-05-06T15:00:10.796273,RESOLVED,Third-party compromise,,LOW,21059.24,BASELINE
INC-000033,AST-00138,Unauthorized Access,LOW,2026-05-01T17:04:49.862543,2026-05-04T02:04:49.862543,RESOLVED,Third-party compromise,CTRL-FW,HIGH,617.97,BASELINE
INC-000034,AST-00218,Credential Compromise,LOW,2026-04-26T14:05:19.844041,2026-04-30T01:05:19.844041,RESOLVED,Unknown,CTRL-IAM,MEDIUM,2281.47,BASELINE
INC-000035,AST-00103,Phishing,MEDIUM,2026-05-09T22:22:21.654205,2026-05-11T09:22:21.654205,RESOLVED,Phishing click,CTRL-EMAILSEC,LOW,607.15,BASELINE
INC-000036,AST-00168,Phishing,CRITICAL,2026-04-24T17:04:27.357844,2026-04-28T15:04:27.357844,RESOLVED,Unpatched vulnerability,CTRL-AWARE,HIGH,48346.04,BASELINE
INC-000037,AST-00169,Credential Compromise,LOW,2026-05-07T19:17:47.322175,2026-05-08T08:17:47.322175,RESOLVED,Unpatched vulnerability,CTRL-FW,LOW,87.27,BASELINE
INC-000038,AST-00100,Malware,HIGH,2026-04-29T22:52:53.686564,2026-05-02T11:52:53.686564,RESOLVED,Misconfiguration,,LOW,28176.0,BASELINE
INC-000039,AST-00186,Ransomware Simulation,CRITICAL,2026-05-06T09:15:02.033442,2026-05-09T05:15:02.033442,RESOLVED,Third-party compromise,CTRL-IAM,MEDIUM,17805.83,BASELINE
INC-000040,AST-00093,Credential Compromise,HIGH,2026-08-03T04:59:12.253606,2026-08-06T23:59:12.253606,RESOLVED,Unpatched vulnerability,CTRL-FW,HIGH,31321.91,CURRENT
INC-000041,AST-00128,Ransomware Simulation,MEDIUM,2026-07-15T12:28:26.853292,2026-07-17T17:28:26.853292,RESOLVED,Third-party compromise,CTRL-IAM,MEDIUM,1489.63,CURRENT
INC-000042,AST-00126,Ransomware Simulation,MEDIUM,2026-07-22T10:18:58.190186,2026-07-25T01:18:58.190186,RESOLVED,Third-party compromise,CTRL-EMAILSEC,LOW,1275.44,CURRENT
INC-000043,AST-00054,Unauthorized Access,HIGH,2026-07-18T20:35:05.321214,2026-07-22T01:35:05.321214,RESOLVED,Third-party compromise,CTRL-BACKUP,CRITICAL,1662.6,CURRENT
INC-000044,AST-00141,Unauthorized Access,MEDIUM,2026-08-02T13:59:45.787028,2026-08-05T04:59:45.787028,RESOLVED,Phishing click,,HIGH,1823.42,CURRENT
INC-000045,AST-00004,Malware,MEDIUM,2026-07-24T07:12:00.306246,2026-07-26T06:12:00.306246,RESOLVED,Unpatched vulnerability,,HIGH,224.99,CURRENT
INC-000046,AST-00058,Unauthorized Access,MEDIUM,2026-07-19T15:05:55.672431,2026-07-19T16:05:55.672431,RESOLVED,Weak credentials,CTRL-PATCH,HIGH,2915.46,CURRENT
INC-000047,AST-00128,Malware,MEDIUM,2026-08-01T08:15:18.901777,2026-08-04T11:15:18.901777,RESOLVED,Unknown,CTRL-MFA,MEDIUM,1573.72,CURRENT
INC-000048,AST-00101,Malware,LOW,2026-08-06T14:42:27.839904,2026-08-07T23:42:27.839904,RESOLVED,Misconfiguration,,HIGH,2517.74,CURRENT
INC-000049,AST-00205,Cloud Misconfiguration,MEDIUM,2026-07-26T17:17:18.440173,2026-07-29T07:17:18.440173,RESOLVED,Weak credentials,CTRL-EDR,HIGH,1839.29,CURRENT
INC-000050,AST-00147,Cloud Misconfiguration,MEDIUM,2026-07-29T14:08:05.270138,2026-07-30T14:08:05.270138,RESOLVED,Unpatched vulnerability,,LOW,135.16,CURRENT
INC-000051,AST-00047,Ransomware Simulation,HIGH,2026-07-23T08:12:13.691081,2026-07-24T13:12:13.691081,RESOLVED,Third-party compromise,CTRL-EDR,LOW,40022.71,CURRENT
INC-000052,AST-00146,Suspicious Activity,MEDIUM,2026-08-08T00:39:11.966899,,OPEN,Unpatched vulnerability,,CRITICAL,1993.72,CURRENT
INC-000053,AST-00193,Suspicious Activity,MEDIUM,2026-07-20T10:58:13.874281,2026-07-23T18:58:13.874281,RESOLVED,Unpatched vulnerability,CTRL-CLOUDSEC,HIGH,355.63,CURRENT
INC-000054,AST-00175,Credential Compromise,LOW,2026-07-29T22:25:50.906816,2026-08-01T10:25:50.906816,RESOLVED,Unknown,CTRL-EMAILSEC,LOW,2510.08,CURRENT
INC-000055,AST-00106,Cloud Misconfiguration,LOW,2026-08-07T14:12:37.625065,2026-08-09T10:12:37.625065,RESOLVED,Unpatched vulnerability,CTRL-AWARE,MEDIUM,104.8,CURRENT
INC-000056,AST-00194,Data Leakage,MEDIUM,2026-07-29T19:21:00.543050,2026-07-31T16:21:00.543050,RESOLVED,Phishing click,CTRL-CLOUDSEC,CRITICAL,2846.68,CURRENT
INC-000057,AST-00050,Unauthorized Access,CRITICAL,2026-07-21T22:06:49.742960,2026-07-24T14:06:49.742960,RESOLVED,Phishing click,CTRL-IAM,MEDIUM,24755.11,CURRENT
INC-000058,AST-00215,Ransomware Simulation,MEDIUM,2026-07-22T07:53:16.296559,2026-07-24T04:53:16.296559,RESOLVED,Third-party compromise,CTRL-FW,CRITICAL,1333.35,CURRENT
INC-000059,AST-00190,Phishing,MEDIUM,2026-07-28T04:05:19.369402,2026-07-31T14:05:19.369402,RESOLVED,Misconfiguration,CTRL-CLOUDSEC,LOW,1060.75,CURRENT
INC-000060,AST-00161,Ransomware Simulation,HIGH,2026-07-16T18:11:44.198894,,OPEN,Unknown,,MEDIUM,2285.91,CURRENT
INC-000041,AST-00128,Ransomware Simulation,MEDIUM,2026-07-15T12:28:26.853292,2026-07-17T17:28:26.853292,RESOLVED,Third-party compromise,CTRL-IAM,MEDIUM,1489.63,CURRENT
INC-000009,AST-00030,Phishing,MEDIUM,2026-05-01T05:13:39.801261,2026-05-02T09:13:39.801261,RESOLVED,Third-party compromise,CTRL-AWARE,MEDIUM,327.15,BASELINE
INC-000017,AST-00140,Malware,CRITICAL,2026-04-26T14:01:24.362385,2026-04-29T07:01:24.362385,RESOLVED,Unknown,CTRL-PATCH,LOW,23895.58,BASELINE
INC-000002,AST-00017,Malware,MEDIUM,2026-04-22T18:14:03.095899,,OPEN,Unknown,CTRL-PATCH,LOW,1079.94,BASELINE
INC-000047,AST-00128,Malware,MEDIUM,2026-08-01T08:15:18.901777,2026-08-04T11:15:18.901777,RESOLVED,Unknown,CTRL-MFA,MEDIUM,1573.72,CURRENT
INC-000031,AST-00173,Credential Compromise,CRITICAL,2026-04-28T03:39:14.538279,2026-04-29T00:39:14.538279,RESOLVED,Unpatched vulnerability,,HIGH,43340.08,BASELINE
