source_table,record_id,issue_type
control_telemetry,TEL-11ca016c1ba1,stale
control_telemetry,TEL-c635e18da2c9,stale
control_telemetry,TEL-23e9c5133841,invalid
control_telemetry,TEL-a6b7fbb32f70,stale
control_telemetry,TEL-4140ffa99b12,stale
control_telemetry,TEL-db97b09ff64a,stale
control_telemetry,TEL-f285584d451f,stale
control_telemetry,TEL-4a7116ee7922,missing
control_telemetry,TEL-6d0cead31ffe,invalid
control_telemetry,TEL-c8395d404129,invalid
control_telemetry,TEL-5c06812ef9d6,stale
control_telemetry,TEL-a06e419a6e4f,missing
control_telemetry,TEL-f99e28203237,invalid
control_telemetry,TEL-8525fc82bbbe,stale
control_telemetry,TEL-3463f2a0eee6,stale
control_telemetry,TEL-03dfb1159707,stale
control_telemetry,TEL-1a6d4d775ff2,stale
control_telemetry,TEL-8b340e30b42c,invalid
control_telemetry,TEL-5df91dca2359,stale
control_telemetry,TEL-db9123728923,stale
control_telemetry,TEL-123d332ecd45,invalid
control_telemetry,TEL-b2fc72385a19,missing
control_telemetry,TEL-a19840b61876,missing
control_telemetry,TEL-515a20a4150d,missing
control_telemetry,TEL-237e6c8469c0,stale
control_telemetry,TEL-44e1352b8c98,stale
control_telemetry,TEL-47d3c07d96a9,invalid
control_telemetry,TEL-2aab041b0353,missing
control_telemetry,TEL-db3db7d8c9f9,missing
control_telemetry,TEL-1b4b43193ffa,stale
control_telemetry,TEL-ce8de323f0fa,invalid
control_telemetry,TEL-b6ab80668fc4,stale
control_telemetry,TEL-ea94249285b1,invalid
control_telemetry,TEL-763ecfc29fe4,stale
control_telemetry,TEL-e57646ed45e1,invalid
control_telemetry,TEL-1c1f8bc59f03,missing
control_telemetry,TEL-a6675d4f52ed,missing
control_telemetry,TEL-063588084fd2,stale
control_telemetry,TEL-f9bd4e0ad6d0,invalid
control_telemetry,TEL-78a1c09e259a,missing
control_telemetry,TEL-e512c993fdfc,stale
control_telemetry,TEL-171cc0218de2,missing
control_telemetry,TEL-f9ef611ccee0,stale
control_telemetry,TEL-59f5a44377de,missing
control_telemetry,TEL-699e26227ee2,stale
control_telemetry,TEL-dac475a4e397,stale
control_telemetry,TEL-d9e616a9e0ac,stale
control_telemetry,TEL-3bc9e5cdb131,stale
control_telemetry,TEL-e899c3c4bfc8,missing
control_telemetry,TEL-d49b60bab888,stale
control_telemetry,TEL-1f68fe0e35c0,stale
control_telemetry,TEL-e96607874fc4,missing
control_telemetry,TEL-bc16e25f987c,missing
control_telemetry,TEL-fda3f97df9c7,missing
control_telemetry,TEL-62d0d1668680,stale
control_telemetry,TEL-d974a95db526,stale
control_telemetry,TEL-21dcf6ce3ee2,stale
control_telemetry,TEL-db59c8e293b8,invalid
control_telemetry,TEL-73ab33231268,stale
control_telemetry,TEL-fc973647767d,invalid
control_telemetry,TEL-6e3d71c1b8e2,stale
control_telemetry,TEL-111db98d7b40,stale
control_telemetry,TEL-b70e4972fd9c,stale
control_telemetry,TEL-2b063275e55e,stale
control_telemetry,TEL-ff3d87229a3c,stale
control_telemetry,TEL-9fd110f9fcf4,missing
control_telemetry,TEL-af87dc7992c7,missing
control_telemetry,TEL-af0d35464951,stale
control_telemetry,TEL-e4073e3aff0b,stale
control_telemetry,TEL-b93d3769de11,invalid
control_telemetry,TEL-f20c9ddd502d,stale
control_telemetry,TEL-ea2109a2735a,stale
control_telemetry,TEL-ecaf846b1d27,stale
control_telemetry,TEL-bef939fbfd69,stale
control_telemetry,TEL-e4432cd33656,invalid
control_telemetry,TEL-f0909468dbca,missing
control_telemetry,TEL-f0909468dbca,stale
control_telemetry,TEL-84bd17793804,stale
control_telemetry,TEL-8db2864199fa,stale
control_telemetry,TEL-cac002db2f23,stale
control_telemetry,TEL-a4ebaf9230e3,missing
control_telemetry,TEL-dd02f35bb30a,invalid
control_telemetry,TEL-bb9e7695ad35,stale
control_telemetry,TEL-e4fa55fc0ca9,missing
control_telemetry,TEL-f4c57ecbe6ef,invalid
control_telemetry,TEL-7516002b7eab,stale
control_telemetry,TEL-f1d5a2b7532e,stale
control_telemetry,TEL-a0e3e4d4d791,stale
control_telemetry,TEL-e6a6dd9e06bf,stale
control_telemetry,TEL-f60c2cd785b1,invalid
control_telemetry,TEL-eb7fa7b42503,stale
control_telemetry,TEL-2b0a8c22aef3,stale
control_telemetry,TEL-d536dd697e4a,invalid
control_telemetry,TEL-0d3bbfa9e17e,stale
control_telemetry,TEL-6b4bf40f3b34,stale
control_telemetry,TEL-dc9ec168f641,stale
control_telemetry,TEL-7f6869be8e95,invalid
control_telemetry,TEL-e35caea11621,missing
control_telemetry,TEL-86bc1167dde5,stale
control_telemetry,TEL-eba3e1da24c7,stale
control_telemetry,TEL-de2d4e4759ca,stale
control_telemetry,TEL-2f830ac790df,missing
control_telemetry,TEL-8e3d3a696e28,invalid
control_telemetry,TEL-efc972852335,stale
control_telemetry,TEL-8e0881486eb1,missing
control_telemetry,TEL-5cc75f6726a3,stale
control_telemetry,TEL-12ffaf08ffdd,stale
control_telemetry,TEL-7615a9a4062e,invalid
control_telemetry,TEL-b9329e91da9e,invalid
control_telemetry,TEL-aeab9ae4364c,missing
control_telemetry,TEL-4c21a2516ed3,stale
control_telemetry,TEL-ac3d5a097739,stale
control_telemetry,TEL-8da02b74f4df,stale
control_telemetry,TEL-c39657bd9b7d,stale
control_telemetry,TEL-88a42ec104b2,missing
control_telemetry,TEL-68d2b6706113,stale
control_telemetry,TEL-476838fdf9c4,invalid
control_telemetry,TEL-fc0a82642561,stale
control_telemetry,TEL-e6f27d3c3872,stale
control_telemetry,TEL-f58d4b53d9fc,invalid
control_telemetry,TEL-f37c8fef911d,missing
control_telemetry,TEL-7f31bb6e8ea9,invalid
control_telemetry,TEL-b94f91a8820d,stale
control_telemetry,TEL-5ee29a1562b1,stale
control_telemetry,TEL-6b4d7ed79e7d,stale
control_telemetry,TEL-deb7971df432,stale
control_telemetry,TEL-7dec299d3714,invalid
control_telemetry,TEL-49ac62a1da97,stale
control_telemetry,TEL-2bc9652813f7,stale
control_telemetry,TEL-05e8cd58fd33,missing
control_telemetry,TEL-57c1bb3e076d,missing
control_telemetry,TEL-0156e34311e0,invalid
control_telemetry,TEL-31e1a0a72fc1,stale
control_telemetry,TEL-4a8068b4a267,invalid
control_telemetry,TEL-52a700adf3d4,invalid
control_telemetry,TEL-66f4f998bd17,stale
control_telemetry,TEL-0939773fb578,stale
control_telemetry,TEL-f9d662ee3dd9,stale
control_telemetry,TEL-95f6476d4fe8,missing
control_telemetry,TEL-23ca689e022b,stale
control_telemetry,TEL-7783b453a2e4,invalid
control_telemetry,TEL-b8dbfbaad64a,stale
control_telemetry,TEL-dcbbc8a1af6a,stale
control_telemetry,TEL-29c2e3e4cc2b,stale
control_telemetry,TEL-d81601a53536,missing
control_telemetry,TEL-0b2ebf79e27d,missing
control_telemetry,TEL-8da11f94d380,invalid
control_telemetry,TEL-12a3d8630825,invalid
control_telemetry,TEL-73f77dc91135,stale
control_telemetry,TEL-124e6d645bd5,stale
control_telemetry,TEL-f7c935c2c735,stale
control_telemetry,TEL-3487b2bb9d98,invalid
control_telemetry,TEL-787a657cf809,stale
control_telemetry,TEL-ec864595dce3,invalid
control_telemetry,TEL-061f6198f31b,stale
control_telemetry,TEL-985ba9968673,missing
control_telemetry,TEL-bc6ac2bb3c05,stale
control_telemetry,TEL-96f1f71f9905,stale
control_telemetry,TEL-f7d8a4a3abbc,stale
control_telemetry,TEL-99577b71d616,stale
control_telemetry,TEL-cacda52009ea,missing
control_telemetry,TEL-5eb68fb14890,invalid
control_telemetry,TEL-31a81e15e448,stale
control_telemetry,TEL-ec6a94ceb8dd,invalid
control_telemetry,TEL-73c66180bbea,stale
control_telemetry,TEL-a43793a3539b,invalid
control_telemetry,TEL-74ee0e25b78f,missing
control_telemetry,TEL-e6a205c16c6c,stale
control_telemetry,TEL-2e4f5dfde32a,stale
control_telemetry,TEL-2db3a6da18b2,stale
control_telemetry,TEL-8730fac64e6e,stale
control_telemetry,TEL-b7d6d518e8d0,invalid
control_telemetry,TEL-cc2b00166f50,stale
control_telemetry,TEL-6e4c226d80b7,stale
control_telemetry,TEL-4fd0422a015f,invalid
control_telemetry,TEL-1005b0a4fb29,stale
vulnerabilities,VUL-000013,invalid
vulnerabilities,VUL-000026,stale
vulnerabilities,VUL-000030,stale
vulnerabilities,VUL-000045,stale
vulnerabilities,VUL-000050,missing
vulnerabilities,VUL-000062,missing
vulnerabilities,VUL-000064,invalid
vulnerabilities,VUL-000101,stale
vulnerabilities,VUL-000102,missing
vulnerabilities,VUL-000115,missing
vulnerabilities,VUL-000135,missing
vulnerabilities,VUL-000142,missing
vulnerabilities,VUL-000150,stale
vulnerabilities,VUL-000212,stale
vulnerabilities,VUL-000214,missing
vulnerabilities,VUL-000218,invalid
vulnerabilities,VUL-000242,missing
vulnerabilities,VUL-000253,stale
vulnerabilities,VUL-000263,stale
vulnerabilities,VUL-000268,missing
vulnerabilities,VUL-000275,missing
vulnerabilities,VUL-000278,stale
vulnerabilities,VUL-000282,stale
vulnerabilities,VUL-000285,missing
vulnerabilities,VUL-000295,stale
vulnerabilities,VUL-000320,missing
vulnerabilities,VUL-000334,missing
vulnerabilities,VUL-000335,missing
vulnerabilities,VUL-000340,missing
vulnerabilities,VUL-000380,invalid
incidents,INC-000041,duplicate
incidents,INC-000009,duplicate
incidents,INC-000017,duplicate
incidents,INC-000002,duplicate
incidents,INC-000047,duplicate
incidents,INC-000031,duplicate
