vulnerability_id,asset_id,cve_id,severity,cvss_score,discovered_date,due_date,remediation_status,remediation_date,exploit_available,internet_exposed,business_impact
VUL-000033,AST-00019,CVE-2025-7515,LOW,1.0,2026-03-22,2026-06-20,OPEN,,False,False,HIGH
VUL-000034,AST-00020,CVE-2025-11072,LOW,1.2,2026-03-21,2026-04-20,OPEN,,True,False,LOW
VUL-000035,AST-00020,CVE-2025-22053,LOW,3.7,2026-04-24,2026-05-09,REMEDIATED,2026-06-15,True,False,LOW
VUL-000036,AST-00020,CVE-2025-3390,LOW,2.0,2026-04-19,2026-06-18,REMEDIATED,2026-04-28,False,False,LOW
VUL-000037,AST-00021,CVE-2025-35106,CRITICAL,9.4,2026-03-18,2026-04-17,REMEDIATED,2026-05-25,False,False,HIGH
VUL-000038,AST-00021,CVE-2025-19487,LOW,0.9,2026-04-16,2026-05-01,REMEDIATED,2026-04-22,True,False,HIGH
VUL-000039,AST-00021,CVE-2025-11314,LOW,0.4,2026-03-29,2026-04-13,REMEDIATED,2026-06-16,False,False,HIGH
VUL-000040,AST-00021,CVE-2025-38119,MEDIUM,4.3,2026-04-26,2026-05-11,REMEDIATED,2026-06-05,False,False,HIGH
VUL-000041,AST-00022,CVE-2025-24542,MEDIUM,5.8,2026-04-23,2026-07-22,OPEN,,True,False,LOW
VUL-000042,AST-00022,CVE-2025-27490,MEDIUM,5.3,2026-04-16,2026-05-16,REMEDIATED,2026-05-10,True,False,LOW
VUL-000043,AST-00022,CVE-2025-31677,LOW,0.2,2026-04-25,2026-05-10,REMEDIATED,2026-06-05,False,False,LOW
VUL-000044,AST-00024,CVE-2025-34854,MEDIUM,6.4,2026-03-29,2026-05-28,REMEDIATED,2026-04-08,False,False,LOW
VUL-000045,AST-00025,CVE-2025-56692,HIGH,2026-05-12T14:23:38.249549,2026-04-08,2026-04-23,REMEDIATED,2026-06-04,True,False,MEDIUM
VUL-000046,AST-00026,CVE-2025-26009,LOW,2.4,2026-04-07,2026-06-06,OPEN,,False,True,LOW
VUL-000047,AST-00026,CVE-2025-54216,MEDIUM,4.9,2026-04-20,2026-05-20,REMEDIATED,2026-07-12,False,True,LOW
VUL-000048,AST-00026,CVE-2025-37393,LOW,3.1,2026-04-21,2026-05-21,REMEDIATED,2026-05-16,True,True,LOW
VUL-000049,AST-00026,CVE-2025-31279,MEDIUM,4.7,2026-03-18,2026-06-16,REMEDIATED,2026-04-01,True,True,LOW
VUL-000050,AST-00027,CVE-2025-25920,LOW,,2026-03-11,2026-03-26,IN_PROGRESS,,False,False,LOW
VUL-000051,AST-00027,CVE-2025-38601,MEDIUM,5.8,2026-03-20,2026-04-04,IN_PROGRESS,,False,False,LOW
VUL-000052,AST-00028,CVE-2025-49782,LOW,3.4,2026-04-24,2026-07-23,IN_PROGRESS,,True,True,LOW
VUL-000053,AST-00028,CVE-2025-40272,LOW,1.5,2026-04-03,2026-05-03,IN_PROGRESS,,True,True,LOW
VUL-000054,AST-00028,CVE-2025-15447,MEDIUM,4.8,2026-04-09,2026-07-08,REMEDIATED,2026-05-11,False,True,LOW
VUL-000055,AST-00029,CVE-2025-37855,LOW,3.7,2026-03-23,2026-04-07,REMEDIATED,2026-04-11,False,True,MEDIUM
VUL-000056,AST-00029,CVE-2025-8591,MEDIUM,4.7,2026-03-11,2026-05-10,IN_PROGRESS,,False,True,MEDIUM
VUL-000057,AST-00031,CVE-2025-53866,MEDIUM,6.2,2026-05-08,2026-07-07,REMEDIATED,2026-07-25,False,False,MEDIUM
VUL-000058,AST-00031,CVE-2025-13971,MEDIUM,5.5,2026-05-04,2026-07-03,OPEN,,True,False,MEDIUM
VUL-000059,AST-00032,CVE-2025-22503,HIGH,8.8,2026-04-16,2026-06-15,REMEDIATED,2026-05-07,False,False,LOW
VUL-000060,AST-00032,CVE-2025-30473,MEDIUM,4.1,2026-04-23,2026-05-08,REMEDIATED,2026-06-01,False,False,LOW
VUL-000061,AST-00033,CVE-2025-41296,LOW,2.8,2026-03-11,2026-04-10,REMEDIATED,2026-03-29,False,False,LOW
VUL-000062,AST-00033,CVE-2025-28959,LOW,,2026-03-31,2026-06-29,OPEN,,False,False,LOW
VUL-000063,AST-00033,CVE-2025-26990,MEDIUM,5.0,2026-04-26,2026-05-11,OPEN,,True,False,LOW
VUL-000064,AST-00037,CVE-2025-19408,MEDIUM,-4.7,2026-04-22,2026-07-21,OPEN,,False,False,LOW
VUL-000065,AST-00037,CVE-2025-39265,CRITICAL,9.4,2026-04-15,2026-07-14,REMEDIATED,2026-06-30,False,False,LOW
VUL-000066,AST-00037,CVE-2025-27560,MEDIUM,4.0,2026-04-08,2026-06-07,REMEDIATED,2026-06-11,False,False,LOW
VUL-000067,AST-00040,CVE-2025-21312,HIGH,8.2,2026-05-10,2026-05-25,REMEDIATED,2026-06-12,False,False,HIGH
VUL-000068,AST-00040,CVE-2025-29989,HIGH,7.2,2026-03-19,2026-04-03,REMEDIATED,2026-04-06,True,False,HIGH
VUL-000069,AST-00040,CVE-2025-18566,HIGH,7.0,2026-04-13,2026-04-28,OPEN,,False,False,HIGH
VUL-000070,AST-00042,CVE-2025-35012,MEDIUM,4.7,2026-03-17,2026-06-15,REMEDIATED,2026-04-20,False,True,HIGH
VUL-000071,AST-00042,CVE-2025-32460,MEDIUM,4.7,2026-04-14,2026-06-13,REMEDIATED,2026-05-09,False,True,HIGH
VUL-000072,AST-00042,CVE-2025-21389,LOW,3.4,2026-04-27,2026-05-27,REMEDIATED,2026-05-02,False,True,HIGH
VUL-000073,AST-00042,CVE-2025-26291,HIGH,8.9,2026-04-03,2026-05-03,REMEDIATED,2026-05-29,False,True,HIGH
VUL-000074,AST-00042,CVE-2025-15185,CRITICAL,9.2,2026-04-01,2026-06-30,REMEDIATED,2026-06-03,False,True,HIGH
VUL-000075,AST-00042,CVE-2025-10976,HIGH,8.0,2026-03-23,2026-06-21,OPEN,,False,True,HIGH
VUL-000076,AST-00043,CVE-2025-55761,HIGH,7.6,2026-03-20,2026-05-19,OPEN,,False,False,MEDIUM
VUL-000077,AST-00044,CVE-2025-16822,HIGH,7.1,2026-04-16,2026-07-15,OPEN,,False,False,CRITICAL
VUL-000078,AST-00044,CVE-2025-24939,LOW,3.7,2026-05-03,2026-08-01,OPEN,,False,False,CRITICAL
VUL-000079,AST-00044,CVE-2025-8958,MEDIUM,4.4,2026-04-10,2026-05-10,OPEN,,False,False,CRITICAL
VUL-000080,AST-00045,CVE-2025-14672,LOW,1.1,2026-03-27,2026-04-26,OPEN,,False,True,MEDIUM
VUL-000081,AST-00045,CVE-2025-22473,MEDIUM,5.9,2026-04-02,2026-07-01,REMEDIATED,2026-05-14,False,True,MEDIUM
VUL-000082,AST-00047,CVE-2025-36455,MEDIUM,6.4,2026-04-25,2026-06-24,OPEN,,False,False,LOW
VUL-000083,AST-00048,CVE-2025-4588,CRITICAL,9.6,2026-04-03,2026-05-03,REMEDIATED,2026-04-24,False,False,MEDIUM
VUL-000084,AST-00048,CVE-2025-53184,MEDIUM,5.9,2026-04-29,2026-07-28,OPEN,,False,False,MEDIUM
VUL-000085,AST-00048,CVE-2025-56449,HIGH,7.8,2026-03-24,2026-04-08,REMEDIATED,2026-05-09,False,False,MEDIUM
VUL-000086,AST-00049,CVE-2025-6748,MEDIUM,5.8,2026-03-21,2026-05-20,IN_PROGRESS,,False,False,MEDIUM
VUL-000087,AST-00052,CVE-2025-25606,HIGH,8.6,2026-04-08,2026-05-08,OPEN,,False,True,MEDIUM
VUL-000088,AST-00052,CVE-2025-5021,MEDIUM,6.0,2026-03-23,2026-06-21,REMEDIATED,2026-04-22,False,True,MEDIUM
VUL-000089,AST-00052,CVE-2025-42165,LOW,1.9,2026-05-03,2026-08-01,ACCEPTED_RISK,,False,True,MEDIUM
VUL-000090,AST-00052,CVE-2025-5706,HIGH,7.1,2026-03-11,2026-05-10,IN_PROGRESS,,False,True,MEDIUM
VUL-000091,AST-00052,CVE-2025-27059,MEDIUM,6.2,2026-05-02,2026-06-01,REMEDIATED,2026-06-03,False,True,MEDIUM
VUL-000092,AST-00054,CVE-2025-46238,MEDIUM,5.2,2026-03-31,2026-04-30,OPEN,,False,False,CRITICAL
VUL-000093,AST-00054,CVE-2025-56549,MEDIUM,5.8,2026-04-13,2026-05-13,REMEDIATED,2026-07-07,False,False,CRITICAL
VUL-000094,AST-00054,CVE-2025-49114,LOW,2.6,2026-03-18,2026-04-17,REMEDIATED,2026-06-04,True,False,CRITICAL
VUL-000095,AST-00055,CVE-2025-7664,CRITICAL,9.4,2026-05-02,2026-06-01,IN_PROGRESS,,True,False,HIGH
VUL-000096,AST-00056,CVE-2025-41298,MEDIUM,4.5,2026-04-24,2026-06-23,OPEN,,False,False,LOW
VUL-000097,AST-00057,CVE-2025-51249,LOW,3.6,2026-03-28,2026-05-27,OPEN,,False,False,LOW
VUL-000098,AST-00057,CVE-2025-15585,MEDIUM,4.2,2026-04-08,2026-04-23,IN_PROGRESS,,True,False,LOW
VUL-000099,AST-00058,CVE-2025-21792,LOW,1.9,2026-04-02,2026-04-17,REMEDIATED,2026-06-09,False,False,HIGH
VUL-000100,AST-00058,CVE-2025-32554,MEDIUM,6.0,2026-03-29,2026-04-13,ACCEPTED_RISK,,False,False,HIGH
VUL-000101,AST-00058,CVE-2025-26570,CRITICAL,2026-02-23T14:23:38.249549,2026-05-07,2026-06-06,OPEN,,False,False,HIGH
VUL-000102,AST-00059,CVE-2025-13468,LOW,,2026-04-14,2026-05-14,ACCEPTED_RISK,,False,False,MEDIUM
VUL-000103,AST-00059,CVE-2025-38209,LOW,1.4,2026-04-06,2026-04-21,REMEDIATED,2026-05-21,False,False,MEDIUM
VUL-000104,AST-00059,CVE-2025-33038,MEDIUM,4.6,2026-04-26,2026-07-25,IN_PROGRESS,,False,False,MEDIUM
VUL-000105,AST-00060,CVE-2025-5219,HIGH,7.5,2026-05-06,2026-06-05,REMEDIATED,2026-07-07,False,False,LOW
VUL-000106,AST-00060,CVE-2025-26752,LOW,1.7,2026-04-15,2026-07-14,REMEDIATED,2026-06-26,False,False,LOW
VUL-000107,AST-00061,CVE-2025-14453,HIGH,7.6,2026-05-04,2026-05-19,REMEDIATED,2026-07-19,True,False,CRITICAL
VUL-000108,AST-00061,CVE-2025-46837,HIGH,7.1,2026-04-06,2026-04-21,REMEDIATED,2026-05-12,True,False,CRITICAL
VUL-000109,AST-00061,CVE-2025-55955,CRITICAL,9.5,2026-03-31,2026-05-30,OPEN,,False,False,CRITICAL
VUL-000110,AST-00064,CVE-2025-24143,HIGH,7.4,2026-04-07,2026-05-07,REMEDIATED,2026-06-07,False,False,HIGH
VUL-000111,AST-00064,CVE-2025-30438,LOW,0.6,2026-04-18,2026-05-18,REMEDIATED,2026-06-22,False,False,HIGH
VUL-000112,AST-00064,CVE-2025-33116,MEDIUM,5.3,2026-05-02,2026-07-31,REMEDIATED,2026-05-15,False,False,HIGH
VUL-000113,AST-00065,CVE-2025-24165,HIGH,8.2,2026-04-27,2026-07-26,REMEDIATED,2026-05-22,False,False,MEDIUM
VUL-000114,AST-00065,CVE-2025-20895,HIGH,7.1,2026-05-09,2026-05-24,IN_PROGRESS,,False,False,MEDIUM
VUL-000115,AST-00065,CVE-2025-28416,HIGH,,2026-03-26,2026-04-25,REMEDIATED,2026-04-22,True,False,MEDIUM
VUL-000116,AST-00066,CVE-2025-13478,LOW,1.0,2026-04-25,2026-06-24,REMEDIATED,2026-07-06,False,False,CRITICAL
VUL-000117,AST-00066,CVE-2025-8518,HIGH,7.6,2026-03-15,2026-05-14,REMEDIATED,2026-05-17,False,False,CRITICAL
VUL-000118,AST-00066,CVE-2025-9124,HIGH,7.8,2026-05-01,2026-05-16,OPEN,,False,False,CRITICAL
VUL-000119,AST-00067,CVE-2025-17661,MEDIUM,4.7,2026-03-18,2026-06-16,OPEN,,False,False,LOW
VUL-000120,AST-00067,CVE-2025-1280,CRITICAL,9.4,2026-05-06,2026-05-21,REMEDIATED,2026-07-05,True,False,LOW
VUL-000121,AST-00067,CVE-2025-33099,MEDIUM,5.0,2026-04-22,2026-06-21,REMEDIATED,2026-05-09,False,False,LOW
VUL-000122,AST-00068,CVE-2025-24505,MEDIUM,4.4,2026-04-14,2026-05-14,REMEDIATED,2026-07-03,True,True,LOW
VUL-000123,AST-00069,CVE-2025-13788,LOW,0.5,2026-04-01,2026-06-30,REMEDIATED,2026-05-29,True,True,HIGH
VUL-000124,AST-00069,CVE-2025-52982,HIGH,8.3,2026-03-26,2026-05-25,REMEDIATED,2026-05-01,False,True,HIGH
VUL-000125,AST-00069,CVE-2025-18761,CRITICAL,9.6,2026-04-20,2026-05-20,IN_PROGRESS,,False,True,HIGH
VUL-000126,AST-00069,CVE-2025-58040,CRITICAL,9.2,2026-03-17,2026-05-16,REMEDIATED,2026-05-12,False,True,HIGH
VUL-000127,AST-00069,CVE-2025-21928,MEDIUM,6.3,2026-05-08,2026-05-23,REMEDIATED,2026-06-24,False,True,HIGH
VUL-000128,AST-00069,CVE-2025-3646,MEDIUM,5.6,2026-04-29,2026-07-28,REMEDIATED,2026-07-12,True,True,HIGH
VUL-000129,AST-00070,CVE-2025-35973,LOW,3.6,2026-04-03,2026-04-18,OPEN,,False,False,MEDIUM
VUL-000130,AST-00070,CVE-2025-56675,MEDIUM,5.3,2026-03-26,2026-06-24,REMEDIATED,2026-06-08,False,False,MEDIUM
VUL-000131,AST-00070,CVE-2025-46359,HIGH,7.7,2026-05-02,2026-06-01,REMEDIATED,2026-06-04,False,False,MEDIUM
VUL-000132,AST-00071,CVE-2025-30158,MEDIUM,5.6,2026-04-29,2026-05-14,REMEDIATED,2026-06-18,False,False,HIGH
VUL-000133,AST-00071,CVE-2025-53263,MEDIUM,6.3,2026-03-17,2026-04-01,REMEDIATED,2026-04-15,False,False,HIGH
VUL-000134,AST-00073,CVE-2025-45749,HIGH,7.5,2026-04-11,2026-07-10,OPEN,,True,False,LOW
VUL-000135,AST-00073,CVE-2025-58553,CRITICAL,,2026-05-10,2026-07-09,OPEN,,False,False,LOW
VUL-000136,AST-00074,CVE-2025-1508,LOW,2.4,2026-03-22,2026-04-21,REMEDIATED,2026-06-01,False,False,MEDIUM
VUL-000137,AST-00075,CVE-2025-39450,LOW,2.5,2026-04-13,2026-04-28,REMEDIATED,2026-06-21,False,False,MEDIUM
VUL-000138,AST-00076,CVE-2025-48875,LOW,2.9,2026-03-13,2026-06-11,REMEDIATED,2026-03-31,False,False,MEDIUM
VUL-000139,AST-00077,CVE-2025-52324,MEDIUM,6.0,2026-03-16,2026-04-15,REMEDIATED,2026-05-02,False,False,LOW
VUL-000140,AST-00077,CVE-2025-10537,LOW,2.7,2026-04-07,2026-07-06,IN_PROGRESS,,False,False,LOW
VUL-000141,AST-00077,CVE-2025-51852,HIGH,8.0,2026-03-11,2026-06-09,REMEDIATED,2026-03-29,True,False,LOW
VUL-000142,AST-00078,CVE-2025-33534,MEDIUM,,2026-04-25,2026-05-10,IN_PROGRESS,,False,False,LOW
VUL-000143,AST-00078,CVE-2025-17557,MEDIUM,6.0,2026-04-01,2026-05-31,OPEN,,False,False,LOW
VUL-000144,AST-00078,CVE-2025-28921,MEDIUM,6.6,2026-05-03,2026-05-18,REMEDIATED,2026-07-21,True,False,LOW
VUL-000145,AST-00079,CVE-2025-26624,LOW,3.9,2026-04-26,2026-06-25,IN_PROGRESS,,True,False,MEDIUM
VUL-000146,AST-00079,CVE-2025-22586,HIGH,7.4,2026-04-24,2026-05-24,REMEDIATED,2026-07-03,False,False,MEDIUM
VUL-000147,AST-00081,CVE-2025-45035,HIGH,7.9,2026-03-26,2026-06-24,REMEDIATED,2026-05-10,False,False,LOW
VUL-000148,AST-00081,CVE-2025-21092,MEDIUM,4.9,2026-03-20,2026-04-04,REMEDIATED,2026-05-31,False,False,LOW
VUL-000149,AST-00081,CVE-2025-46004,MEDIUM,5.9,2026-03-27,2026-04-26,REMEDIATED,2026-05-27,False,False,LOW
VUL-000150,AST-00082,CVE-2025-15281,CRITICAL,2025-10-09T14:23:38.249549,2026-05-04,2026-06-03,REMEDIATED,2026-05-12,False,False,HIGH
VUL-000151,AST-00082,CVE-2025-13392,LOW,1.2,2026-04-28,2026-05-28,OPEN,,False,False,HIGH
VUL-000152,AST-00082,CVE-2025-15693,MEDIUM,6.2,2026-04-19,2026-05-19,OPEN,,True,False,HIGH
VUL-000153,AST-00083,CVE-2025-44972,CRITICAL,9.5,2026-03-28,2026-06-26,REMEDIATED,2026-04-22,False,True,MEDIUM
VUL-000154,AST-00085,CVE-2025-17100,MEDIUM,4.5,2026-05-01,2026-06-30,REMEDIATED,2026-05-12,False,False,LOW
VUL-000155,AST-00085,CVE-2025-24392,MEDIUM,4.1,2026-04-22,2026-07-21,OPEN,,False,False,LOW
VUL-000156,AST-00086,CVE-2025-13750,HIGH,7.2,2026-05-08,2026-06-07,REMEDIATED,2026-07-04,False,True,MEDIUM
VUL-000157,AST-00086,CVE-2025-11493,MEDIUM,6.3,2026-03-12,2026-05-11,REMEDIATED,2026-05-16,True,True,MEDIUM
VUL-000158,AST-00087,CVE-2025-1935,CRITICAL,9.7,2026-04-02,2026-04-17,OPEN,,False,False,MEDIUM
VUL-000159,AST-00088,CVE-2025-36456,LOW,0.7,2026-03-24,2026-06-22,REMEDIATED,2026-04-17,False,False,MEDIUM
VUL-000160,AST-00088,CVE-2025-24114,HIGH,7.5,2026-03-31,2026-04-15,REMEDIATED,2026-05-12,True,False,MEDIUM
VUL-000161,AST-00090,CVE-2025-47248,MEDIUM,4.4,2026-04-20,2026-06-19,REMEDIATED,2026-05-01,False,False,CRITICAL
VUL-000162,AST-00090,CVE-2025-15181,LOW,2.7,2026-04-09,2026-07-08,IN_PROGRESS,,True,False,CRITICAL
VUL-000163,AST-00091,CVE-2025-27939,MEDIUM,4.2,2026-03-17,2026-04-16,REMEDIATED,2026-06-06,True,False,MEDIUM
VUL-000164,AST-00092,CVE-2025-55732,LOW,2.8,2026-03-24,2026-04-23,REMEDIATED,2026-05-16,True,True,HIGH
VUL-000165,AST-00092,CVE-2025-25544,CRITICAL,9.1,2026-03-15,2026-03-30,REMEDIATED,2026-04-12,False,True,HIGH
VUL-000166,AST-00092,CVE-2025-31292,HIGH,7.1,2026-04-15,2026-04-30,REMEDIATED,2026-07-06,True,True,HIGH
VUL-000167,AST-00092,CVE-2025-17570,HIGH,7.4,2026-04-19,2026-05-04,REMEDIATED,2026-05-01,False,True,HIGH
VUL-000168,AST-00094,CVE-2025-13690,MEDIUM,6.1,2026-04-10,2026-05-10,OPEN,,False,False,MEDIUM
VUL-000169,AST-00094,CVE-2025-25767,HIGH,8.4,2026-03-19,2026-04-18,REMEDIATED,2026-04-02,False,False,MEDIUM
VUL-000170,AST-00094,CVE-2025-28387,MEDIUM,5.4,2026-05-03,2026-05-18,OPEN,,True,False,MEDIUM
VUL-000171,AST-00096,CVE-2025-4548,HIGH,7.5,2026-04-08,2026-05-08,OPEN,,False,False,LOW
VUL-000172,AST-00097,CVE-2025-13682,MEDIUM,6.7,2026-04-09,2026-07-08,IN_PROGRESS,,True,True,MEDIUM
VUL-000173,AST-00097,CVE-2025-37268,HIGH,7.3,2026-04-07,2026-04-22,ACCEPTED_RISK,,True,True,MEDIUM
VUL-000174,AST-00097,CVE-2025-18743,LOW,1.3,2026-04-14,2026-07-13,REMEDIATED,2026-07-02,False,True,MEDIUM
VUL-000175,AST-00097,CVE-2025-18384,LOW,2.6,2026-04-04,2026-07-03,IN_PROGRESS,,False,True,MEDIUM
VUL-000176,AST-00098,CVE-2025-17423,CRITICAL,9.5,2026-04-19,2026-05-19,REMEDIATED,2026-05-21,False,False,CRITICAL
VUL-000177,AST-00098,CVE-2025-18864,MEDIUM,6.4,2026-04-06,2026-06-05,REMEDIATED,2026-04-11,False,False,CRITICAL
VUL-000178,AST-00099,CVE-2025-40758,MEDIUM,6.6,2026-03-22,2026-04-06,OPEN,,False,False,HIGH
VUL-000179,AST-00099,CVE-2025-34596,CRITICAL,9.1,2026-04-06,2026-06-05,REMEDIATED,2026-06-16,False,False,HIGH
VUL-000180,AST-00099,CVE-2025-1085,LOW,1.1,2026-04-15,2026-04-30,IN_PROGRESS,,False,False,HIGH
VUL-000181,AST-00100,CVE-2025-34771,LOW,2.9,2026-04-07,2026-07-06,REMEDIATED,2026-05-31,True,False,LOW
VUL-000182,AST-00100,CVE-2025-25096,LOW,3.8,2026-03-27,2026-06-25,REMEDIATED,2026-05-31,False,False,LOW
VUL-000183,AST-00100,CVE-2025-9751,LOW,3.0,2026-04-03,2026-05-03,IN_PROGRESS,,False,False,LOW
VUL-000184,AST-00101,CVE-2025-40579,LOW,3.1,2026-04-17,2026-06-16,REMEDIATED,2026-06-12,True,False,HIGH
VUL-000185,AST-00101,CVE-2025-8766,MEDIUM,5.3,2026-03-28,2026-05-27,REMEDIATED,2026-06-07,False,False,HIGH
VUL-000186,AST-00102,CVE-2025-48482,MEDIUM,5.4,2026-03-14,2026-03-29,REMEDIATED,2026-03-24,False,False,MEDIUM
VUL-000187,AST-00102,CVE-2025-25444,MEDIUM,5.2,2026-04-22,2026-05-07,REMEDIATED,2026-05-25,False,False,MEDIUM
VUL-000188,AST-00102,CVE-2025-22464,MEDIUM,5.2,2026-04-12,2026-05-12,REMEDIATED,2026-05-24,False,False,MEDIUM
VUL-000189,AST-00107,CVE-2025-25394,LOW,0.2,2026-05-04,2026-08-02,REMEDIATED,2026-06-24,True,False,LOW
VUL-000190,AST-00107,CVE-2025-12509,MEDIUM,4.7,2026-04-22,2026-07-21,REMEDIATED,2026-07-16,True,False,LOW
VUL-000191,AST-00107,CVE-2025-40521,LOW,1.5,2026-03-28,2026-04-27,REMEDIATED,2026-06-01,False,False,LOW
VUL-000192,AST-00108,CVE-2025-50051,HIGH,7.8,2026-03-30,2026-05-29,REMEDIATED,2026-06-19,False,False,MEDIUM
VUL-000193,AST-00108,CVE-2025-51040,HIGH,8.3,2026-04-24,2026-05-24,REMEDIATED,2026-06-17,False,False,MEDIUM
VUL-000194,AST-00108,CVE-2025-48107,HIGH,7.5,2026-04-30,2026-05-15,REMEDIATED,2026-06-25,True,False,MEDIUM
VUL-000195,AST-00109,CVE-2025-41147,LOW,1.0,2026-03-21,2026-05-20,REMEDIATED,2026-04-19,False,False,HIGH
VUL-000196,AST-00109,CVE-2025-40840,HIGH,8.1,2026-03-21,2026-06-19,OPEN,,False,False,HIGH
VUL-000197,AST-00111,CVE-2025-40237,HIGH,8.5,2026-05-10,2026-07-09,REMEDIATED,2026-05-26,False,False,MEDIUM
VUL-000198,AST-00111,CVE-2025-18882,HIGH,8.0,2026-04-07,2026-06-06,REMEDIATED,2026-06-01,False,False,MEDIUM
VUL-000199,AST-00111,CVE-2025-49134,LOW,2.0,2026-05-07,2026-06-06,IN_PROGRESS,,True,False,MEDIUM
VUL-000200,AST-00112,CVE-2025-12970,MEDIUM,5.7,2026-04-24,2026-06-23,REMEDIATED,2026-07-17,False,False,CRITICAL
VUL-000201,AST-00112,CVE-2025-6932,HIGH,7.2,2026-04-20,2026-05-20,IN_PROGRESS,,False,False,CRITICAL
