telemetry_id,control_id,asset_id,timestamp,coverage_percentage,compliance_percentage,health_status,event_count,source,data_quality,freshness_timestamp,period
TEL-6b67ceb33ab2,CTRL-EDR,AST-00192,2026-08-01T20:23:38.249549,100,82.4,HEALTHY,338,cloud_api,GOOD,2026-08-01T20:23:38.249549,CURRENT
TEL-5787007b6974,CTRL-EDR,AST-00075,2026-05-11T14:23:38.249549,63.6,61.4,HEALTHY,378,cloud_api,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-02bb5d96a99d,CTRL-EDR,AST-00075,2026-08-04T13:23:38.249549,98.5,78.0,HEALTHY,389,cloud_api,GOOD,2026-07-22T14:23:38.249549,CURRENT
TEL-8dd642a4bf26,CTRL-EDR,AST-00209,2026-05-10T14:23:38.249549,47.6,56.7,HEALTHY,305,syslog,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-825cb5c92825,CTRL-EDR,AST-00209,2026-08-08T08:23:38.249549,73.4,82.0,HEALTHY,43,syslog,DEGRADED,2026-07-18T14:23:38.249549,CURRENT
TEL-b514fd6cae04,CTRL-EDR,AST-00003,2026-05-13T14:23:38.249549,72.2,57.2,HEALTHY,252,agent,GOOD,2026-05-13T14:23:38.249549,BASELINE
TEL-8b0d32c8d8ef,CTRL-EDR,AST-00003,2026-08-06T19:23:38.249549,100,75.6,HEALTHY,39,cloud_api,GOOD,2026-08-06T19:23:38.249549,CURRENT
TEL-e54230d5d109,CTRL-EDR,AST-00077,2026-05-10T14:23:38.249549,52.4,57.8,DEGRADED,170,syslog,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-71cfea771564,CTRL-EDR,AST-00077,2026-08-07T04:23:38.249549,83.0,76.7,HEALTHY,421,syslog,BAD,2026-08-07T04:23:38.249549,CURRENT
TEL-aa718265ac0c,CTRL-EDR,AST-00146,2026-05-12T14:23:38.249549,49.1,68.4,FAILED,149,syslog,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-33652b327647,CTRL-EDR,AST-00146,2026-08-06T17:23:38.249549,72.1,87.4,HEALTHY,192,cloud_api,GOOD,2026-08-06T17:23:38.249549,CURRENT
TEL-4662ed98c5e9,CTRL-EDR,AST-00155,2026-05-14T14:23:38.249549,56.8,56.9,HEALTHY,487,syslog,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-888693170cad,CTRL-EDR,AST-00155,2026-08-06T16:23:38.249549,74.6,83.8,HEALTHY,354,agent,GOOD,2026-08-06T16:23:38.249549,CURRENT
TEL-9ffeaecf08a4,CTRL-EDR,AST-00028,2026-05-11T14:23:38.249549,68.9,55.0,HEALTHY,404,cloud_api,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-7ef35d589315,CTRL-EDR,AST-00028,2026-08-05T22:23:38.249549,94.1,82.6,HEALTHY,259,syslog,GOOD,2026-08-05T22:23:38.249549,CURRENT
TEL-45099df97b3e,CTRL-EDR,AST-00086,2026-05-14T14:23:38.249549,46.1,61.0,HEALTHY,127,syslog,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-d4eac43d5597,CTRL-EDR,AST-00086,2026-08-01T19:23:38.249549,85.3,92.3,HEALTHY,330,syslog,GOOD,2026-08-01T19:23:38.249549,CURRENT
TEL-adc8cc87fded,CTRL-EDR,AST-00073,2026-05-10T14:23:38.249549,74.0,63.9,HEALTHY,285,syslog,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-5d93ae600065,CTRL-EDR,AST-00073,2026-08-05T20:23:38.249549,97.3,81.0,HEALTHY,347,syslog,GOOD,2026-08-05T20:23:38.249549,CURRENT
TEL-7a57d59b12dd,CTRL-EDR,AST-00117,2026-05-10T14:23:38.249549,49.5,54.5,HEALTHY,178,cloud_api,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-803a77c0b254,CTRL-EDR,AST-00117,2026-08-07T09:23:38.249549,89.5,75.4,HEALTHY,49,cloud_api,GOOD,2026-08-07T09:23:38.249549,CURRENT
TEL-17b41996a017,CTRL-EDR,AST-00165,2026-05-10T14:23:38.249549,58.6,41.3,HEALTHY,409,agent,DEGRADED,2026-05-10T14:23:38.249549,BASELINE
TEL-6ae2628268d6,CTRL-EDR,AST-00165,2026-07-30T13:23:38.249549,75.3,70.6,HEALTHY,169,syslog,GOOD,2026-07-30T13:23:38.249549,CURRENT
TEL-7800191be15c,CTRL-EDR,AST-00140,2026-05-15T14:23:38.249549,58.9,58.9,HEALTHY,452,agent,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-d4104b1e85b2,CTRL-EDR,AST-00140,2026-08-04T00:23:38.249549,93.8,77.6,HEALTHY,385,syslog,GOOD,2026-07-25T14:23:38.249549,CURRENT
TEL-fb7f47131dd8,CTRL-EDR,AST-00135,2026-05-12T14:23:38.249549,46.9,66.2,HEALTHY,441,cloud_api,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-c4ddbc5083b7,CTRL-EDR,AST-00135,2026-08-06T12:23:38.249549,64.4,84.9,HEALTHY,300,agent,GOOD,2026-08-06T12:23:38.249549,CURRENT
TEL-4abb872fc39b,CTRL-EDR,AST-00206,2026-05-12T14:23:38.249549,70.4,64.4,HEALTHY,68,cloud_api,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-5b28100083a1,CTRL-EDR,AST-00206,2026-07-29T19:23:38.249549,100,93.5,HEALTHY,261,cloud_api,GOOD,2026-07-29T19:23:38.249549,CURRENT
TEL-e3f39d9679c6,CTRL-EDR,AST-00035,2026-05-15T14:23:38.249549,49.1,45.6,FAILED,284,agent,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-8eccec390369,CTRL-EDR,AST-00035,2026-07-29T19:23:38.249549,73.7,73.3,HEALTHY,27,cloud_api,DEGRADED,2026-07-29T19:23:38.249549,CURRENT
TEL-9fa7637483df,CTRL-EDR,AST-00130,2026-05-15T14:23:38.249549,59.5,51.5,HEALTHY,363,cloud_api,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-14dce90a5436,CTRL-EDR,AST-00130,2026-08-03T08:23:38.249549,79.4,77.7,HEALTHY,140,agent,GOOD,2026-07-24T14:23:38.249549,CURRENT
TEL-91c40dbf5e26,CTRL-EDR,AST-00120,2026-05-14T14:23:38.249549,50.0,62.3,HEALTHY,396,syslog,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-353b994d6a47,CTRL-EDR,AST-00120,2026-08-03T04:23:38.249549,76.5,92.6,HEALTHY,368,cloud_api,GOOD,2026-08-03T04:23:38.249549,CURRENT
TEL-d19a2d9fe33b,CTRL-EDR,AST-00070,2026-05-12T14:23:38.249549,74.7,64.9,HEALTHY,178,agent,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-cc7ace7f788c,CTRL-EDR,AST-00070,2026-07-30T07:23:38.249549,92.3,94.9,HEALTHY,415,syslog,GOOD,2026-07-30T07:23:38.249549,CURRENT
TEL-e1de339c8d33,CTRL-EDR,AST-00050,2026-05-11T14:23:38.249549,55.5,59.0,HEALTHY,30,syslog,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-c6f06dab51bf,CTRL-EDR,AST-00050,2026-07-31T06:23:38.249549,88.3,77.3,HEALTHY,360,cloud_api,GOOD,2026-07-31T06:23:38.249549,CURRENT
TEL-1490140d3b1d,CTRL-EDR,AST-00029,2026-05-10T14:23:38.249549,53.0,69.6,HEALTHY,470,agent,BAD,2026-05-10T14:23:38.249549,BASELINE
TEL-c1c962c5cd3c,CTRL-EDR,AST-00029,2026-08-07T04:23:38.249549,89.5,98.2,DEGRADED,127,agent,GOOD,2026-08-07T04:23:38.249549,CURRENT
TEL-53a630efdbaf,CTRL-EDR,AST-00085,2026-05-14T14:23:38.249549,69.9,60.3,HEALTHY,231,agent,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-12ef15b7ad9a,CTRL-EDR,AST-00085,2026-08-01T21:23:38.249549,100,85.1,HEALTHY,142,syslog,DEGRADED,2026-08-01T21:23:38.249549,CURRENT
TEL-3c65654b3e8a,CTRL-EDR,AST-00042,2026-05-15T14:23:38.249549,56.1,49.8,HEALTHY,340,syslog,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-6bd749d18588,CTRL-EDR,AST-00042,2026-08-07T15:23:38.249549,94.8,64.9,HEALTHY,219,agent,GOOD,2026-08-07T15:23:38.249549,CURRENT
TEL-6167da96ddc5,CTRL-EDR,AST-00118,2026-05-13T14:23:38.249549,54.7,56.4,HEALTHY,24,agent,GOOD,2026-05-13T14:23:38.249549,BASELINE
TEL-aa1294fa1868,CTRL-EDR,AST-00118,2026-07-31T05:23:38.249549,76.8,74.0,HEALTHY,439,agent,GOOD,2026-07-31T05:23:38.249549,CURRENT
TEL-9aefa7632940,CTRL-EDR,AST-00166,2026-05-11T14:23:38.249549,45.0,46.1,HEALTHY,477,cloud_api,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-2c96cd1a5565,CTRL-EDR,AST-00166,2026-07-30T05:23:38.249549,84.0,74.8,HEALTHY,332,agent,GOOD,2026-07-30T05:23:38.249549,CURRENT
TEL-02b4036dc108,CTRL-EDR,AST-00066,2026-05-10T14:23:38.249549,63.8,62.7,HEALTHY,39,agent,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-4c64d1e7d4ec,CTRL-EDR,AST-00066,2026-08-01T02:23:38.249549,96.9,86.2,HEALTHY,175,agent,BAD,2026-08-01T02:23:38.249549,CURRENT
TEL-95d8fee493e6,CTRL-EDR,AST-00205,2026-05-15T14:23:38.249549,57.7,42.1,HEALTHY,451,cloud_api,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-0e9bb6973c50,CTRL-EDR,AST-00205,2026-07-31T00:23:38.249549,76.0,64.8,HEALTHY,346,agent,GOOD,2026-07-31T00:23:38.249549,CURRENT
TEL-6724bb6512cc,CTRL-EDR,AST-00004,2026-05-11T14:23:38.249549,61.9,44.9,DEGRADED,315,syslog,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-f0b6921c6bae,CTRL-EDR,AST-00004,2026-08-01T22:23:38.249549,92.2,66.9,HEALTHY,63,syslog,GOOD,2026-08-01T22:23:38.249549,CURRENT
TEL-ebc470e2ab97,CTRL-EDR,AST-00087,2026-05-15T14:23:38.249549,55.5,63.7,HEALTHY,369,syslog,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-61324d4195c2,CTRL-EDR,AST-00087,2026-08-07T17:23:38.249549,81.3,83.7,DEGRADED,105,syslog,GOOD,2026-07-10T14:23:38.249549,CURRENT
TEL-8faca1cc5b5e,CTRL-EDR,AST-00076,2026-05-11T14:23:38.249549,50.7,59.4,HEALTHY,326,syslog,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-3950ab2bb1c5,CTRL-EDR,AST-00076,2026-08-03T08:23:38.249549,75.5,90.1,DEGRADED,67,cloud_api,DEGRADED,2026-07-20T14:23:38.249549,CURRENT
TEL-b9a9e62c24c8,CTRL-EDR,AST-00199,2026-05-10T14:23:38.249549,62.1,60.5,HEALTHY,110,agent,DEGRADED,2026-05-10T14:23:38.249549,BASELINE
TEL-06ea105beaed,CTRL-EDR,AST-00199,2026-08-08T10:23:38.249549,86.2,90.7,HEALTHY,364,syslog,GOOD,2026-08-08T10:23:38.249549,CURRENT
TEL-f51b58100766,CTRL-EDR,AST-00173,2026-05-11T14:23:38.249549,57.7,59.2,HEALTHY,471,agent,BAD,2026-05-11T14:23:38.249549,BASELINE
TEL-cc726a300c18,CTRL-EDR,AST-00173,2026-08-05T15:23:38.249549,82.8,85.0,HEALTHY,390,syslog,GOOD,2026-08-05T15:23:38.249549,CURRENT
TEL-8ac4e58c8db2,CTRL-EDR,AST-00185,2026-05-10T14:23:38.249549,47.0,61.9,HEALTHY,232,syslog,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-7162651cc3b8,CTRL-EDR,AST-00185,2026-08-06T00:23:38.249549,79.5,93.8,HEALTHY,61,agent,GOOD,2026-08-06T00:23:38.249549,CURRENT
TEL-77215fa53a69,CTRL-EDR,AST-00212,2026-05-15T14:23:38.249549,66.0,68.6,HEALTHY,399,cloud_api,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-7a2575cca8fd,CTRL-EDR,AST-00212,2026-08-05T20:23:38.249549,85.1,94.1,HEALTHY,219,cloud_api,GOOD,2026-08-05T20:23:38.249549,CURRENT
TEL-38fa9179b5e6,CTRL-EDR,AST-00157,2026-05-14T14:23:38.249549,2026-04-15T14:23:38.249549,58.8,HEALTHY,130,agent,DEGRADED,2026-05-14T14:23:38.249549,BASELINE
TEL-41ca2ca4bddd,CTRL-EDR,AST-00157,2026-08-04T18:23:38.249549,92.3,83.7,HEALTHY,1,agent,DEGRADED,2026-08-04T18:23:38.249549,CURRENT
TEL-bdb6d71e28c2,CTRL-EDR,AST-00164,2026-05-11T14:23:38.249549,45.4,50.9,HEALTHY,411,syslog,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-442c60d85aef,CTRL-EDR,AST-00164,2026-07-29T16:23:38.249549,61.5,84.3,HEALTHY,368,cloud_api,GOOD,2026-07-29T16:23:38.249549,CURRENT
TEL-3bdf2fc80894,CTRL-EDR,AST-00104,2026-05-11T14:23:38.249549,47.3,55.1,FAILED,488,cloud_api,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-cacd434dcafd,CTRL-EDR,AST-00104,2026-08-06T05:23:38.249549,71.7,88.1,DEGRADED,167,agent,GOOD,2026-08-06T05:23:38.249549,CURRENT
TEL-eec60bdd1534,CTRL-EDR,AST-00110,2026-05-14T14:23:38.249549,45.2,56.9,HEALTHY,252,agent,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-90a1d5269c34,CTRL-EDR,AST-00110,2026-08-06T00:23:38.249549,65.3,78.0,HEALTHY,477,cloud_api,GOOD,2026-08-06T00:23:38.249549,CURRENT
TEL-7e5a4b011baf,CTRL-EDR,AST-00132,2026-05-12T14:23:38.249549,61.2,60.8,HEALTHY,377,syslog,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-ef4697af235b,CTRL-EDR,AST-00132,2026-08-08T14:23:38.249549,92.1,76.0,HEALTHY,492,agent,BAD,2026-08-08T14:23:38.249549,CURRENT
TEL-4def59a2da3a,CTRL-EDR,AST-00084,2026-05-14T14:23:38.249549,49.3,41.3,HEALTHY,498,syslog,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-f3428c9710ed,CTRL-EDR,AST-00084,2026-08-04T05:23:38.249549,71.3,60.9,DEGRADED,38,syslog,GOOD,2026-08-04T05:23:38.249549,CURRENT
TEL-b39744f848fd,CTRL-EDR,AST-00220,2026-05-12T14:23:38.249549,58.0,47.1,HEALTHY,376,cloud_api,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-0285f4ff887e,CTRL-EDR,AST-00220,2026-07-29T17:23:38.249549,97.2,67.3,HEALTHY,399,syslog,GOOD,2026-07-29T17:23:38.249549,CURRENT
TEL-c7bcae5c2513,CTRL-EDR,AST-00103,2026-05-12T14:23:38.249549,48.2,49.4,HEALTHY,135,agent,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-ee911f67499d,CTRL-EDR,AST-00103,2026-07-31T09:23:38.249549,74.4,66.8,HEALTHY,308,agent,GOOD,2026-07-31T09:23:38.249549,CURRENT
TEL-94b7c0609791,CTRL-EDR,AST-00025,2026-05-13T14:23:38.249549,-70.7,61.3,FAILED,15,cloud_api,DEGRADED,2026-05-13T14:23:38.249549,BASELINE
TEL-826fc624c1ec,CTRL-EDR,AST-00025,2026-08-03T03:23:38.249549,89.4,95.7,HEALTHY,52,agent,GOOD,2026-08-03T03:23:38.249549,CURRENT
TEL-ddf11af4365f,CTRL-EDR,AST-00178,2026-05-13T14:23:38.249549,46.9,46.7,DEGRADED,43,syslog,GOOD,2026-05-13T14:23:38.249549,BASELINE
TEL-f6cbe21e5388,CTRL-EDR,AST-00178,2026-08-04T15:23:38.249549,81.4,65.6,FAILED,101,syslog,GOOD,2026-08-04T15:23:38.249549,CURRENT
TEL-b37221c1bea8,CTRL-EDR,AST-00036,2026-05-10T14:23:38.249549,2025-11-30T14:23:38.249549,64.9,DEGRADED,202,cloud_api,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-701c604292a2,CTRL-EDR,AST-00036,2026-08-03T16:23:38.249549,86.5,86.5,HEALTHY,95,cloud_api,GOOD,2026-08-03T16:23:38.249549,CURRENT
TEL-62303b65093c,CTRL-EDR,AST-00123,2026-05-12T14:23:38.249549,71.5,58.6,HEALTHY,31,agent,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-fd10ee59272f,CTRL-EDR,AST-00123,2026-08-03T07:23:38.249549,87.4,78.5,DEGRADED,269,agent,GOOD,2026-08-03T07:23:38.249549,CURRENT
TEL-c4378b5df261,CTRL-EDR,AST-00083,2026-05-12T14:23:38.249549,69.1,69.7,HEALTHY,467,syslog,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-3f9804b0cb69,CTRL-EDR,AST-00083,2026-08-03T12:23:38.249549,100,100,HEALTHY,112,agent,DEGRADED,2026-08-03T12:23:38.249549,CURRENT
TEL-d23e568aff2d,CTRL-EDR,AST-00064,2026-05-14T14:23:38.249549,68.4,69.7,HEALTHY,336,agent,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-b7c1d6f81173,CTRL-EDR,AST-00064,2026-08-06T03:23:38.249549,84.8,95.3,HEALTHY,485,agent,GOOD,2026-08-06T03:23:38.249549,CURRENT
TEL-556c7a286b8b,CTRL-EDR,AST-00002,2026-05-11T14:23:38.249549,74.5,68.1,HEALTHY,377,syslog,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-604e04810f09,CTRL-EDR,AST-00002,2026-08-06T17:23:38.249549,99.2,100,HEALTHY,290,syslog,GOOD,2026-08-06T17:23:38.249549,CURRENT
TEL-5acafd598f4b,CTRL-EDR,AST-00067,2026-05-14T14:23:38.249549,73.5,64.3,HEALTHY,28,agent,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-4724a151fcc4,CTRL-EDR,AST-00067,2026-08-05T07:23:38.249549,-100,98.7,HEALTHY,66,cloud_api,GOOD,2026-08-05T07:23:38.249549,CURRENT
TEL-ac3ec29ae576,CTRL-EDR,AST-00099,2026-05-14T14:23:38.249549,72.6,49.7,HEALTHY,433,syslog,DEGRADED,2026-05-14T14:23:38.249549,BASELINE
TEL-571ab5844821,CTRL-EDR,AST-00099,2026-08-01T02:23:38.249549,100,65.1,DEGRADED,202,syslog,GOOD,2026-08-01T02:23:38.249549,CURRENT
TEL-b5225b3a974f,CTRL-EDR,AST-00061,2026-05-15T14:23:38.249549,54.1,44.7,HEALTHY,495,syslog,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-bd57edf4bbb6,CTRL-EDR,AST-00061,2026-08-03T10:23:38.249549,72.5,78.7,HEALTHY,301,agent,GOOD,2026-08-03T10:23:38.249549,CURRENT
TEL-2fea313b2436,CTRL-EDR,AST-00115,2026-05-15T14:23:38.249549,67.0,45.3,FAILED,494,syslog,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-2bbd90bee972,CTRL-EDR,AST-00115,2026-08-02T12:23:38.249549,89.4,60.4,FAILED,113,syslog,GOOD,2026-08-02T12:23:38.249549,CURRENT
TEL-238c997d080e,CTRL-EDR,AST-00069,2026-05-12T14:23:38.249549,73.1,62.4,FAILED,420,syslog,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-c22c4a9414f7,CTRL-EDR,AST-00069,2026-08-06T20:23:38.249549,91.6,82.1,HEALTHY,107,agent,GOOD,2026-08-06T20:23:38.249549,CURRENT
TEL-af6337fd2f1f,CTRL-EDR,AST-00183,2026-05-13T14:23:38.249549,55.5,61.6,HEALTHY,211,cloud_api,DEGRADED,2026-05-13T14:23:38.249549,BASELINE
TEL-53720ce6d58c,CTRL-EDR,AST-00183,2026-07-31T19:23:38.249549,90.2,77.6,DEGRADED,403,syslog,GOOD,2026-07-31T19:23:38.249549,CURRENT
TEL-9bd7c625d41c,CTRL-EDR,AST-00078,2026-05-12T14:23:38.249549,65.6,42.2,FAILED,37,cloud_api,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-16f73a6207d7,CTRL-EDR,AST-00078,2026-08-08T09:23:38.249549,84.7,74.1,HEALTHY,459,agent,GOOD,2026-08-08T09:23:38.249549,CURRENT
TEL-8c48ea96ef26,CTRL-EDR,AST-00218,2026-05-15T14:23:38.249549,74.6,61.1,HEALTHY,27,agent,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-bd72a41e9f4c,CTRL-EDR,AST-00218,2026-08-06T20:23:38.249549,100,84.8,HEALTHY,473,syslog,GOOD,2026-08-06T20:23:38.249549,CURRENT
TEL-f5ebac85938f,CTRL-EDR,AST-00201,2026-05-14T14:23:38.249549,64.8,42.9,HEALTHY,1,cloud_api,GOOD,2026-05-14T14:23:38.249549,BASELINE
TEL-a74efa822c6c,CTRL-EDR,AST-00201,2026-07-30T15:23:38.249549,87.3,65.7,HEALTHY,49,agent,GOOD,2026-07-30T15:23:38.249549,CURRENT
TEL-768e695d4ede,CTRL-EDR,AST-00198,2026-05-13T14:23:38.249549,64.1,54.2,HEALTHY,46,syslog,GOOD,2026-05-13T14:23:38.249549,BASELINE
TEL-466e661a1a31,CTRL-EDR,AST-00198,2026-08-03T14:23:38.249549,100,71.5,HEALTHY,228,agent,GOOD,2026-08-03T14:23:38.249549,CURRENT
